Chromosome;Start;End;Strand;Number of included exons;Exon sizes;Exon offsets (0 base);Junction reads;Gene symbol;Transcript id;Flanking introns
chr17;45479497;45507327;+;7;72,144,72,45,144,72,144;0,1746,2430,7515,10641,12716,27686;1;EFCAB13;NM_152347;chr17:45473343-45479497|chr17:45507327-45517796
chr17;45668082;45689968;+;9;165,105,61,110,64,140,135,220,143;0,1239,1768,5636,8959,10891,13198,14616,21743;1;NPEPPS;uc010wkt.2;chr17:45664710-45668082|chr17:45689968-45691034
chr17;45695715;45696530;+;2;108,156;0,659;1;NPEPPS;uc010wkt.2;chr17:45691091-45695715|chr17:45696530-45697102
chr17;45740454;45742524;+;3;90,111,102;0,1070,1968;1;KPNB1;NM_002265;chr17:45738544-45740454|chr17:45742524-45745551
chr17;45740454;45755779;+;13;90,111,102,225,192,131,148,72,145,83,108,144,106;0,1070,1968,5097,6589,7613,9929,10401,11549,13320,13931,14957,15219;1;KPNB1;NM_002265;chr17:45738544-45740454|chr17:45755779-45757385
chr17;45741524;45742524;+;2;111,102;0,898;1;KPNB1;NM_002265;chr17:45740544-45741524|chr17:45742524-45745551
chr17;45741524;45748198;+;5;111,102,225,192,131;0,898,4027,5519,6543;1;KPNB1;NM_002265;chr17:45740544-45741524|chr17:45748198-45750383
chr17;47388673;47389404;-;2;145,116;0,615;1;ZNF652;NM_001145365;chr17:47376286-47388673|chr17:47389404-47390059
chr17;47388673;47390207;-;3;145,116,148;0,615,1386;1;ZNF652;NM_001145365;chr17:47376286-47388673|chr17:47390207-47394187
chr17;47388673;47395345;-;4;145,116,148,1158;0,615,1386,5514;1;ZNF652;NM_001145365;chr17:47376286-47388673|chr17:47395345-47439270
chr17;47793526;47795076;-;2;151,202;0,1348;1;FAM117A;NM_030802;chr17:47788917-47793526|chr17:47795076-47797121
chr17;49062283;49072894;-;8;68,81,126,196,219,172,168,90;0,775,2189,4754,5527,8841,10134,10521;1;SPAG9;NM_001251971;chr17:49060033-49062283|chr17:49072894-49073925
chr17;49082572;49098726;-;6;52,153,58,122,100,208;0,873,2057,9020,14947,15946;1;SPAG9;NM_001251971;chr17:49079206-49082572|chr17:49098726-49118861
chr17;49294694;49336567;-;5;83,115,134,202,64;0,1596,2996,7674,41809;1;MBTD1;NM_017643;chr17:49284366-49294694|chr17:49336567-49337195
chr17;49340634;49365564;+;10;113,99,68,89,126,175,101,91,124,175;0,2908,5563,10088,12592,13856,16731,17115,21971,24755;1;UTP18;NM_016001;chr17:49338287-49340634|chr17:49365564-49371263
chr17;49357365;49371406;+;5;101,91,124,175,143;0,384,5240,8024,13898;1;UTP18;NM_016001;chr17:49354665-49357365|chr17:49371406-49374325
chr17;5235243;5235447;+;1;204;0;1;RABEP1;uc002gbj.3;chr17:5212117-5235243|chr17:5235447-5238478
chr17;5253745;5266311;+;4;179,132,468,105;0,3908,10757,12461;1;RABEP1;uc010cld.1;chr17:5250220-5253745|chr17:5266311-5268416
chr17;5353522;5367009;-;9;204,128,89,160,112,186,171,228,161;0,604,3377,3618,4957,5794,10736,12116,13326;1;DHX33;NM_020162;chr17:5352215-5353522|chr17:5367009-5371890
chr17;5364258;5365866;-;2;171,228;0,1380;1;DHX33;NM_001199699;chr17:5359502-5364258|chr17:5365866-5371890
chr17;54892229;54902682;-;4;101,255,115,241;0,887,9870,10212;1;C17orf67;NM_001085430;chr17:54872541-54892229|chr17:54902682-54910258
chr17;556530;565135;-;3;120,116,87;0,2547,8518;1;VPS53;NM_001128159;chr17:534868-556530|chr17:565135-600657
chr17;56772291;56787351;+;4;259,167,134,132;0,1762,8265,14928;1;RAD51C;NM_058216;chr17:56770149-56772291|chr17:56787351-56798106
chr17;56774053;56787351;+;3;167,134,132;0,6503,13166;1;RAD51C;NM_058216;chr17:56772550-56774053|chr17:56787351-56798106
chr17;57141715;57161450;-;6;51,125,68,124,123,88;0,6468,11292,15399,16742,19647;1;TRIM37;NM_001005207;chr17:57140009-57141715|chr17:57161450-57165651
chr17;57262414;57275150;+;7;151,123,243,99,113,60,97;0,386,8438,9703,10277,12490,12639;1;PRR11;uc021uar.1;chr17:57247241-57262414|chr17:57275150-57278923
chr17;57430575;57430887;+;1;312;0;1;YPEL2;NM_001005404;chr17:57409185-57430575|chr17:57430887-57465687
chr17;57647878;57650596;+;2;146,120;0,2598;1;DHX40;NM_024612;chr17:57644155-57647878|chr17:57650596-57651100
chr17;57733214;57739004;+;3;174,198,201;0,4537,5589;1;CLTC;uc002ixp.3;chr17:57728677-57733214|chr17:57739004-57741202
chr17;57808781;57812834;+;2;102,136;0,3917;1;VMP1;NM_030938;chr17:57785109-57808781|chr17:57812834-57814813
chr17;57943969;57955695;-;2;141,232;0,11494;1;TUBD1;NM_001193609;chr17:57941208-57943969|chr17:57955695-57958254
chr17;58012553;58018304;+;4;108,63,78,108;0,1022,1271,5643;1;RPS6KB1;NM_001272042;chr17:58011885-58012553|chr17:58018304-58022766
chr17;58343336;58348842;-;3;116,108,132;0,3474,5374;1;USP32;NM_032582;chr17:58342835-58343336|chr17:58348842-58365883
chr17;58346810;58348842;-;2;108,132;0,1900;1;USP32;NM_032582;chr17:58343452-58346810|chr17:58348842-58365883
chr17;58365883;58379065;-;3;160,119,106;0,6160,13076;1;USP32;NM_032582;chr17:58348842-58365883|chr17:58379065-58422841
chr17;58571826;58577848;-;2;152,89;0,5933;1;APPBP2;NM_006380;chr17:58556632-58571826|chr17:58577848-58603154
chr17;59853761;59926617;-;10;162,141,166,155,133,200,222,291,120,128;0,3860,4439,7869,17196,22699,24852,32066,70700,72728;1;BRIP1;NM_032043;chr17:59821952-59853761|chr17:59926617-59934418
chr17;59971125;59989431;-;8;135,69,115,72,126,227,174,131;0,1550,3704,3903,10695,13643,17755,18175;1;INTS2;NM_020748;chr17:59969050-59971125|chr17:59989431-59996760
chr17;59988880;60002460;-;5;174,131,114,103,139;0,420,7880,10205,13441;1;INTS2;NM_020748;chr17:59984995-59988880|chr17:60002460-60003712
chr17;60038227;60040332;-;3;224,192,220;0,721,1885;1;MED13;NM_005121;chr17:60033842-60038227|chr17:60040332-60042366
chr17;60050087;60060475;-;2;162,917;0,9471;1;MED13;NM_005121;chr17:60045619-60050087|chr17:60060475-60061531
chr17;60106901;60112969;-;5;111,163,195,198,146;0,310,1903,4246,5922;1;MED13;NM_005121;chr17:60088594-60106901|chr17:60112969-60129897
chr17;60601596;60613698;+;2;96,168;0,11934;1;TLK2;uc002izx.4;chr17:60600538-60601596|chr17:60613698-60629662
chr17;60629662;60631116;+;2;96,93;0,1361;1;TLK2;uc002izx.4;chr17:60613698-60629662|chr17:60631116-60637376
chr17;61787850;61788196;-;2;124,109;0,237;1;STRADA;NM_001003786;chr17:61784778-61787850|chr17:61788196-61790765
chr17;62289933;62291602;-;1;1669;0;1;TEX2;uc002jec.3;chr17:62272455-62289933|chr17:62291602-62307968
chr17;62557617;62568074;-;3;104,196,159;0,1271,10298;1;SMURF2;NM_022739;chr17:62553840-62557617|chr17:62568074-62574609
chr17;62579578;62582288;-;2;84,85;0,2625;1;SMURF2;NM_022739;chr17:62577109-62579578|chr17:62582288-62587201
chr17;63739185;63746842;-;2;150,63;0,7594;1;CEP112;NM_001037325;chr17:63685336-63739185|chr17:63746842-63822255
chr17;6428675;6441402;-;2;108,96;0,12631;1;PITPNM3;NM_031220;chr17:6406894-6428675|chr17:6441402-6459704
chr17;6493098;6538491;-;17;225,121,82,186,84,79,90,90,117,167,230,211,216,63,107,625,161;0,731,5193,6379,9458,10601,17094,17402,18569,20215,22140,31009,33103,33730,34976,38338,45232;1;KIAA0753;NM_014804;chr17:6483184-6493098|chr17:6538491-6543956
chr17;65103284;65239955;-;30;517,235,571,80,208,191,52,205,229,184,148,146,119,179,102,180,131,334,268,298,108,199,76,52,57,125,37,228,57,56;0,1323,1947,7155,13236,15801,16794,21482,28801,30762,38574,41400,42698,43877,53092,53728,59309,60294,71490,81150,82420,82988,86798,88250,93960,96150,108730,111426,132264,136615;1;HELZ;NM_014877;chr17:65083197-65103284|chr17:65239955-65241263
chr17;65162593;65163912;-;2;131,334;0,985;1;HELZ;uc002jfv.4;chr17:65157192-65162593|chr17:65163912-65174774
chr17;65906992;65920705;+;5;2311,125,129,151,43;0,7837,9138,11963,13670;1;BPTF;NM_004459;chr17:65905877-65906992|chr17:65920705-65924470
chr17;66303083;66303852;+;1;769;0;1;ARSG;NM_014960;chr17:66255567-66303083|chr17:66303852-66339744
chr17;73035303;73038754;-;3;63,97,131;0,2972,3320;1;ATP5H;NM_001003785;chr17:73035158-73035303|chr17:73038754-73043019
chr17;73144623;73144766;-;1;143;0;1;HN1;NM_001002032;chr17:73143748-73144623|chr17:73144766-73150436
chr17;73317739;73322101;-;2;169,123;0,4239;1;GRB2;NM_002086;chr17:73316634-73317739|chr17:73322101-73328780
chr17;73647265;73662700;-;7;80,163,112,103,519,122,193;0,7112,9769,10420,11293,13865,15242;1;RECQL5;uc010dgl.3;chr17:73627748-73647265|chr17:73662700-73663123
chr17;74093876;74097944;-;3;223,106,185;0,3475,3883;1;EXOC7;NM_001282313;chr17:74090662-74093876|chr17:74097944-74099441
chr17;74324797;74328516;-;4;146,56,116,173;0,1326,1834,3546;1;PRPSAP1;NM_002766;chr17:74309972-74324797|chr17:74328516-74340751
chr17;74725771;74729297;+;2;105,238;0,3288;1;METTL23;NM_001080510;chr17:74723260-74725771|chr17:74729297-74729374
chr17;74725771;74729459;+;3;105,238,85;0,3288,3603;1;METTL23;NM_001080510;chr17:74723260-74725771|chr17:74729459-74729602
chr17;74763467;74772623;+;4;66,126,175,136;0,2360,7611,9020;1;MFSD11;uc002jta.2;chr17:74750169-74763467|chr17:74772623-74774269
chr17;76388556;76394432;+;3;190,78,100;0,3832,5776;1;PGS1;NM_024419;chr17:76374889-76388556|chr17:76394432-76395428
chr17;76411032;76415756;+;2;76,130;0,4594;1;PGS1;uc002jvo.3;chr17:76400170-76411032|chr17:76415756-76420141
chr17;78013610;78014069;+;1;459;0;1;CCDC40;uc010wub.2;chr17:78011985-78013610|chr17:78014069-78021077
chr17;78023704;78024082;+;2;84,220;0,158;1;CCDC40;uc010wub.2;chr17:78022560-78023704|chr17:78024082-78032292
chr17;78197050;78201759;+;3;86,80,143;0,2585,4566;1;SLC26A11;NM_001166347;chr17:78196646-78197050|chr17:78201759-78210726
chr17;78237372;78286967;+;14;205,164,549,123,179,159,200,284,257,198,217,74,154,156;0,9667,24241,25059,26085,26996,28054,31146,31984,34748,42679,43555,45445,49439;1;RNF213;NM_020954;chr17:78234701-78237372|chr17:78286967-78290987
chr17;79027467;79031767;+;2;76,87;0,4213;1;BAIAP2;uc002jyz.4;chr17:79009108-79027467|chr17:79031767-79058631
chr17;79059453;79060380;+;2;72,138;0,789;1;BAIAP2;uc002jyz.4;chr17:79058693-79059453|chr17:79060380-79073727
chr17;79249768;79258695;-;6;183,103,125,144,94,46;0,1062,4640,6220,7440,8881;1;SLC38A10;NM_001037984;chr17:79246427-79249768|chr17:79258695-79263490
chr17;79660683;79660995;+;2;99,96;0,216;1;HGS;NM_004712;chr17:79660611-79660683|chr17:79660995-79661844
chr17;80014504;80014642;+;1;138;0;1;GPS1;NM_004127;chr17:80014426-80014504|chr17:80014642-80014715
chr17;80151631;80153240;-;3;75,158,102;0,226,1507;1;CCDC57;NM_198082;chr17:80146295-80151631|chr17:80153240-80156189
chr17;80417867;80430574;+;4;81,144,133,135;0,4295,8772,12572;1;NARF;NM_001038618;chr17:80416384-80417867|chr17:80430574-80436675
chr17;80521229;80529746;+;3;195,148,147;0,4700,8370;1;FOXK2;uc002kfm.1;chr17:80478183-80521229|chr17:80529746-80540616
chr17;80721840;80758872;+;7;98,102,147,56,133,46,133;0,2302,4455,8487,17624,33792,36899;1;TBCD;uc002kfx.1;chr17:80710253-80721840|chr17:80758872-80763750
chr17;80739464;80758872;+;3;133,46,133;0,16168,19275;1;TBCD;uc002kfx.1;chr17:80730383-80739464|chr17:80758872-80763750
chr17;80763750;80765544;+;2;137,61;0,1733;1;TBCD;uc002kfx.1;chr17:80758872-80763750|chr17:80765544-80767583
chr17;8409635;8413267;-;3;172,124,138;0,2236,3494;1;MYH10;NM_001256012;chr17:8408224-8409635|chr17:8413267-8415768
chr17;8417103;8424317;-;4;109,161,70,122;0,4845,5095,7092;1;MYH10;NM_001256012;chr17:8416987-8417103|chr17:8424317-8424409
chr17;8424195;8445598;-;6;122,194,63,115,174,174;0,214,9745,14509,14880,21229;1;MYH10;NM_001256012;chr17:8422268-8424195|chr17:8445598-8448765
chr17;953289;1003975;-;14;132,98,75,105,76,123,166,122,141,53,61,108,186,99;0,487,5985,6948,7920,8695,17027,19919,22564,23575,29280,33470,41615,50587;1;ABR;NM_001092;chr17:916404-953289|chr17:1003975-1012173
chr17;9580062;9596547;+;5;136,136,136,112,104;0,3485,6077,10052,16381;1;USP43;uc002gma.4;chr17:9578300-9580062|chr17:9596547-9603488
chr18;12493070;12546903;-;6;130,87,165,78,126,231;0,2944,13405,19382,42404,53602;1;SPIRE1;uc002krc.3;chr18:12479870-12493070|chr18:12546903-12588374
chr18;12999419;13008630;+;3;168,126,176;0,2036,9035;1;CEP192;uc002krs.1;chr18:12991436-12999419|chr18:13008630-13012971
chr18;12999419;13095680;+;34;168,126,176,53,121,149,136,125,340,144,65,210,127,131,823,127,172,919,149,231,126,144,64,140,93,119,174,91,177,261,116,110,151,179;0,2036,9035,13552,15907,17767,19059,19661,30242,31044,37816,38949,41409,42783,49438,50344,53498,56359,58164,59661,68410,68673,68938,69431,69668,70317,71618,73334,73588,87596,88110,90035,92956,96082;1;CEP192;NM_032142;chr18:12991436-12999419|chr18:13095680-13096182
chr18;12999419;13105078;+;39;168,126,176,53,121,149,136,125,340,144,65,210,127,131,823,127,172,919,149,231,126,144,64,140,93,119,174,91,177,261,116,110,151,179,124,106,208,80,96;0,2036,9035,13552,15907,17767,19059,19661,30242,31044,37816,38949,41409,42783,49438,50344,53498,56359,58164,59661,68410,68673,68938,69431,69668,70317,71618,73334,73588,87596,88110,90035,92956,96082,96763,100055,100884,104088,105563;1;CEP192;NM_032142;chr18:12991436-12999419|chr18:13105078-13113584
chr18;13001455;13019205;+;7;126,176,53,121,149,136,125;0,6999,11516,13871,15731,17023,17625;1;CEP192;NM_032142;chr18:12999587-13001455|chr18:13019205-13029661
chr18;13037235;13038578;+;2;65,210;0,1133;1;CEP192;NM_032142;chr18:13030607-13037235|chr18:13038578-13040828
chr18;13681603;13682104;-;1;501;0;1;FAM210A;NM_001098801;chr18:13671972-13681603|chr18:13682104-13687741
chr18;18546877;18608896;-;18;160,189,89,94,166,95,70,185,161,151,107,247,92,136,49,89,61,160;0,835,1855,2198,3431,12993,15846,17434,20033,24259,25914,39434,39782,41142,48514,53234,56703,61859;1;ROCK1;NM_005406;chr18:18540167-18546877|chr18:18608896-18619432
chr18;18619432;18629841;-;7;92,139,145,85,176,138,101;0,2625,3093,4630,5820,9620,10308;1;ROCK1;NM_005406;chr18:18608896-18619432|chr18:18629841-18650492
chr18;19202685;19203900;+;2;77,192;0,1023;1;SNRPD1;NM_006938;chr18:19192404-19202685|chr18:19203900-19209022
chr18;19371334;19383975;+;4;184,145,134,108;0,6710,8467,12533;1;MIB1;NM_020774;chr18:19359646-19371334|chr18:19383975-19395576
chr18;19395576;19399607;+;2;198,152;0,3879;1;MIB1;uc002ktp.3;chr18:19383975-19395576|chr18:19399607-19418325
chr18;19395576;19427086;+;6;198,152,133,87,162,182;0,3879,22749,27515,28476,31328;1;MIB1;uc002ktp.3;chr18:19383975-19395576|chr18:19427086-19429156
chr18;19395576;19438607;+;10;198,152,133,87,162,182,193,79,114,101;0,3879,22749,27515,28476,31328,33580,37524,41514,42930;1;MIB1;uc002ktp.3;chr18:19383975-19395576|chr18:19438607-19444486
chr18;19418325;19427086;+;4;133,87,162,182;0,4766,5727,8579;1;MIB1;uc002ktp.3;chr18:19399607-19418325|chr18:19427086-19429156
chr18;19429156;19438607;+;4;193,79,114,101;0,3944,7934,9350;1;MIB1;uc002ktp.3;chr18:19427086-19429156|chr18:19438607-19444486
chr18;20814571;20817209;+;3;97,157,104;0,1287,2534;1;CABLES1;NM_001256438;chr18:20794018-20814571|chr18:20817209-20832923
chr18;21141323;21153538;-;4;168,176,107,123;0,7463,10714,12092;1;NPC1;NM_000271;chr18:21140444-21141323|chr18:21153538-21166250
chr18;23612362;23619420;-;5;134,123,93,105,168;0,2606,3432,6156,6890;1;SS18;NM_001007559;chr18:23598344-23612362|chr18:23619420-23632587
chr18;23618518;23619420;-;2;105,168;0,734;1;SS18;NM_001007559;chr18:23615887-23618518|chr18:23619420-23632587
chr18;2688391;2722661;+;15;115,120,167,91,211,121,184,195,114,107,83,114,78,120,145;0,234,6133,8638,9437,12145,12341,15298,17300,17970,19169,19413,29764,29921,34125;1;SMCHD1;NM_015295;chr18:2674144-2688391|chr18:2722661-2724896
chr18;29210921;29225442;-;3;188,117,125;0,7685,14396;1;B4GALT6;NM_004775;chr18:29207084-29210921|chr18:29225442-29237938
chr18;29210921;29246335;-;5;188,117,125,114,117;0,7685,14396,27017,35297;1;B4GALT6;NM_004775;chr18:29207084-29210921|chr18:29246335-29264274
chr18;29218606;29225442;-;2;117,125;0,6711;1;B4GALT6;NM_004775;chr18:29211109-29218606|chr18:29225442-29237938
chr18;2937689;2938035;-;1;346;0;1;LPIN2;NM_014646;chr18:2934448-2937689|chr18:2938035-2939477
chr18;31187557;31263532;+;7;83,109,109,122,118,120,164;0,37300,38651,54022,63079,64153,75811;1;ASXL3;NM_030632;chr18:31158649-31187557|chr18:31263532-31311931
chr18;32407556;32444026;+;5;84,88,98,114,97;0,20703,24238,30692,36373;1;DTNA;NM_032979;chr18:32405239-32407556|chr18:32444026-32446074
chr18;33739697;33739978;+;2;96,58;0,223;1;ELP2;NM_001242879;chr18:33738867-33739697|chr18:33739978-33740894
chr18;33740894;33747185;+;3;73,193,122;0,3543,6169;1;ELP2;NM_001242879;chr18:33739978-33740894|chr18:33747185-33750025
chr18;33783075;33800180;+;5;77,200,117,462,163;0,1964,10253,12403,16942;1;MOCOS;NM_017947;chr18:33780287-33783075|chr18:33800180-33828884
chr18;39062408;39081240;-;2;133,157;0,18675;1;KC6;NR_002838;chr18:39061921-39062408|chr18:39081240-39096383
chr18;42529845;42533305;+;1;3460;0;1;SETBP1;NM_015559;chr18:42449248-42529845|chr18:42533305-42618449
chr18;43490485;43492421;-;2;222,167;0,1769;1;EPG5;NM_020964;chr18:43488046-43490485|chr18:43492421-43493670
chr18;43669788;43675097;-;3;174,170,152;0,1859,5157;1;ATP5A1;NM_001001935;chr18:43669698-43669788|chr18:43675097-43678137
chr18;44526019;44526886;+;2;219,70;0,797;1;KATNAL2;uc010dnq.1;chr18:44497889-44526019|chr18:44526886-44601647
chr18;44656614;44662820;-;3;85,209,111;0,4252,6095;1;HDHD2;NM_032124;chr18:44641719-44656614|chr18:44662820-44676748
chr18;45371710;45423180;-;9;145,138,213,54,75,135,194,90,289;0,323,3135,5934,19719,22983,23903,25135,51181;1;SMAD2;NM_005901;chr18:45368321-45371710|chr18:45423180-45456731
chr18;46858233;46860223;-;2;143,126;0,1864;1;DYM;NM_017653;chr18:46812986-46858233|chr18:46860223-46889530
chr18;48458627;48466756;+;3;103,71,99;0,7312,8030;1;ME2;NM_002396;chr18:48452268-48458627|chr18:48466756-48473386
chr18;48581150;48593557;+;6;213,120,117,51,184,169;0,3344,3559,5085,10642,12238;1;SMAD4;NM_005359;chr18:48575694-48581150|chr18:48593557-48603007
chr18;51797729;51800460;+;2;126,165;0,2566;1;POLI;NM_007195;chr18:51796031-51797729|chr18:51800460-51804072
chr18;51797729;51810383;+;6;126,165,153,237,179,92;0,2566,6343,9307,11477,12562;1;POLI;NM_007195;chr18:51796031-51797729|chr18:51810383-51813650
chr18;51797729;51813781;+;7;126,165,153,237,179,92,131;0,2566,6343,9307,11477,12562,15921;1;POLI;NM_007195;chr18:51796031-51797729|chr18:51813781-51818202
chr18;51809206;51810383;+;2;179,92;0,1085;1;POLI;NM_007195;chr18:51807273-51809206|chr18:51810383-51813650
chr18;53017589;53018234;-;2;50,130;0,515;1;TCF4;uc010xdv.1;chr18:52946887-53017589|chr18:53018234-53069285
chr18;53070684;53254367;-;5;65,97,62,73,92;0,57565,60622,181826,183591;1;TCF4;NM_001083962;chr18:53018234-53070684|chr18:53254367-53255268
chr18;54385194;54483375;+;7;196,215,770,89,119,124,114;0,13419,38619,40901,61467,63569,98067;1;WDR7;uc010dpk.1;chr18:54363551-54385194|chr18:54483375-54547174
chr18;54426095;54483375;+;4;89,119,124,114;0,20566,22668,57166;1;WDR7;uc010dpk.1;chr18:54424583-54426095|chr18:54483375-54547174
chr18;55276588;55283207;-;5;87,71,79,90,159;0,2280,4245,6284,6460;1;NARS;NM_004539;chr18:55274897-55276588|chr18:55283207-55287800
chr18;55912658;55919286;+;3;82,39,54;0,3472,6574;1;NEDD4L;NM_001144967;chr18:55833093-55912658|chr18:55919286-55983213
chr18;56601664;56606853;+;2;182,177;0,5012;1;ZNF532;NM_018181;chr18:56587865-56601664|chr18:56606853-56615298
chr18;57014744;57022890;-;6;59,124,100,62,108,155;0,1600,5689,7006,7800,7991;1;LMAN1;NM_005570;chr18:57013283-57014744|chr18:57022890-57026262
chr18;59805475;59829562;-;12;56,93,60,41,117,131,125,107,99,122,253,77;0,740,2177,5063,7666,8728,9971,16302,18886,19444,22890,24010;1;PIGN;NM_176787;chr18:59781872-59805475|chr18:59829562-59830763
chr18;60206913;60217693;+;4;112,77,72,113;0,2817,5121,10667;1;ZCCHC2;NM_017742;chr18:60191596-60206913|chr18:60217693-60223435
chr18;60506016;60506142;+;1;126;0;1;PHLPP1;NM_194449;chr18:60497464-60506016|chr18:60506142-60527667
chr18;6824760;6837413;+;2;203,218;0,12435;1;ARHGAP28;uc002knc.3;chr18:6791669-6824760|chr18:6837413-6851032
chr18;6824760;6859896;+;4;203,218,93,90;0,12435,26272,35046;1;ARHGAP28;uc002knc.3;chr18:6791669-6824760|chr18:6859896-6868148
chr18;6964660;6976079;-;7;142,145,151,125,151,134,144;0,626,1485,7195,8395,10241,11275;1;LAMA1;NM_005559;chr18:6962058-6964660|chr18:6976079-6977725
chr18;697239;706578;-;2;116,109;0,9230;1;ENOSF1;NM_202758;chr18:694334-697239|chr18:706578-712359
chr18;6974901;6980636;-;5;134,144,155,183,117;0,1034,2824,3293,5618;1;LAMA1;NM_005559;chr18:6973206-6974901|chr18:6980636-6982495
chr18;74606968;74640062;+;16;273,204,142,261,254,102,152,104,152,213,283,104,366,146,241,180;0,4006,9367,10142,13307,15055,15647,17231,18734,20634,24763,28058,30176,32024,32264,32914;1;ZNF236;NM_007345;chr18:74593468-74606968|chr18:74640062-74649111
chr18;756556;756835;-;1;279;0;1;YES1;NM_005433;chr18:751804-756556|chr18:756835-812114
chr18;76856475;76886375;+;4;174,151,114,109;0,13879,16765,29791;1;ATP9B;uc002lmw.1;chr18:76829529-76856475|chr18:76886375-76903801
chr18;76856475;77067234;+;14;174,151,114,109,59,52,95,81,76,77,161,143,113,249;0,13879,16765,29791,47326,58028,80337,96707,110461,117486,156905,180578,207128,210510;1;ATP9B;uc002lmw.1;chr18:76829529-76856475|chr18:77067234-77089140
chr18;76886266;76967012;+;5;109,59,52,81,76;0,17535,28237,66916,80670;1;ATP9B;uc002lmv.1;chr18:76873354-76886266|chr18:76967012-77013380
chr18;76886266;77067234;+;9;109,59,52,81,76,161,143,113,249;0,17535,28237,66916,80670,127114,150787,177337,180719;1;ATP9B;uc002lmv.1;chr18:76873354-76886266|chr18:77067234-77089140
chr18;76903801;76936907;+;3;59,52,95;0,10702,33011;1;ATP9B;uc002lmw.1;chr18:76886375-76903801|chr18:76936907-76953182
chr18;77221310;77227582;+;2;56,133;0,6139;1;NFATC1;NM_001278669;chr18:77211816-77221310|chr18:77227582-77246247
chr18;8076452;8088849;+;3;110,202,103;0,9216,12294;1;PTPRM;NM_001105244;chr18:8069992-8076452|chr18:8088849-8113483
chr18;9524591;9525849;+;2;162,132;0,1126;1;RALBP1;uc002kob.3;chr18:9522507-9524591|chr18:9525849-9530831
chr18;9563375;9614268;-;11;173,527,128,159,66,108,147,143,107,136,45;0,6779,13686,19739,21137,21343,24711,25333,30390,31640,50848;1;PPP4R1;NM_001042388;chr18:9562073-9563375|chr18:9614268-9614475
chr18;9775274;9815219;+;4;80,82,72,107;0,16876,38742,39838;1;RAB31;NM_006868;chr18:9708441-9775274|chr18:9815219-9845578
chr19;10220588;10220922;+;2;108,124;0,210;1;PPAN;NM_020230;chr19:10220383-10220588|chr19:10220922-10220999
chr19;10262073;10273424;-;12;148,98,187,188,152,93,119,110,81,46,35,82;0,352,2895,3188,3507,4455,4993,8260,8444,8620,8986,11269;1;DNMT1;NM_001130823;chr19:10260644-10262073|chr19:10273424-10274001
chr19;10274001;10288043;-;7;35,88,35,85,35,79,76;0,3272,5004,9764,10545,12214,13966;1;DNMT1;NM_001130823;chr19:10273424-10274001|chr19:10288043-10290862
chr19;1031069;1032695;+;3;122,67,138;0,1321,1488;1;CNN2;uc002lqt.1;chr19:1026723-1031069|chr19:1032695-1036414
chr19;10781191;10794646;+;16;93,230,178,148,92,96,112,98,112,111,200,168,138,177,154,54;0,458,842,6647,8097,8581,9300,9830,10503,10703,11477,12021,12609,12850,13120,13401;1;ILF3;NM_001137673;chr19:10765163-10781191|chr19:10794646-10795091
chr19;10916591;10930765;+;4;52,12,114,110;0,2653,6348,14064;1;DNM2;NM_001005360;chr19:10913034-10916591|chr19:10930765-10934463
chr19;11118577;11121207;+;2;122,151;0,2479;1;SMARCA4;NM_001128844;chr19:11114073-11118577|chr19:11121207-11123624
chr19;11134193;11134307;+;1;114;0;1;SMARCA4;NM_001128844;chr19:11132643-11134193|chr19:11134307-11135006
chr19;11168930;11170863;+;4;109,102,133,143;0,533,1498,1790;1;SMARCA4;NM_001128844;chr19:11152236-11168930|chr19:11170863-11172459
chr19;11223953;11224438;+;2;172,228;0,257;1;LDLR;NM_000527;chr19:11222315-11223953|chr19:11224438-11226769
chr19;11526612;11527733;-;3;212,49,224;0,675,897;1;RGL3;uc002mrm.2;chr19:11522120-11526612|chr19:11527733-11529346
chr19;12800185;12800444;-;2;66,90;0,169;1;FBXW9;uc010xmp.2;chr19:12800104-12800185|chr19:12800444-12800574
chr19;12856190;12856573;+;2;149,151;0,232;1;ASNA1;NM_004317;chr19:12849472-12856190|chr19:12856573-12858010
chr19;13223709;13226280;-;2;116,188;0,2383;1;TRMT1;NM_001142554;chr19:13223631-13223709|chr19:13226280-13226439
chr19;13470419;13482593;-;3;194,153,92;0,5711,12082;1;CACNA1A;NM_000068;chr19:13446723-13470419|chr19:13482593-13563689
chr19;13936363;13939540;+;2;164,82;0,3095;1;ZSWIM4;NM_023072;chr19:13934314-13936363|chr19:13939540-13941004
chr19;14815865;14817585;+;2;117,88;0,1632;1;ZNF333;uc002mzk.4;chr19:14812709-14815865|chr19:14817585-14826193
chr19;15378226;15383944;-;3;136,138,319;0,1489,5399;1;BRD4;NM_058243;chr19:15376454-15378226|chr19:15383944-15391074
chr19;16962222;16965072;+;3;123,90,119;0,1657,2731;1;SIN3B;NM_015260;chr19:16957924-16962222|chr19:16965072-16973162
chr19;17273159;17273932;+;2;117,135;0,638;1;MYO9B;NM_001130065;chr19:17270294-17273159|chr19:17273932-17278752
chr19;17273159;17278874;+;3;117,135,122;0,638,5593;1;MYO9B;NM_001130065;chr19:17270294-17273159|chr19:17278874-17283145
chr19;17311101;17311638;+;2;134,191;0,346;1;MYO9B;NM_001130065;chr19:17309117-17311101|chr19:17311638-17312734
